wavenumber,transmittance
400,53.03
410,53.03
420,53.03
430,53.03
440,53.03
450,53.03
460,53.03
470,53.03
480,53.03
490,53.03
500,53.03
510,53.03
520,53.03
530,53.03
540,53.03
550,53.03
560,53.03
570,53.04
580,53.04
590,53.04
600,53.04
610,53.04
620,53.04
630,53.04
640,53.04
650,53.04
660,53.04
670,53.04
680,53.04
690,53.04
700,53.04
710,53.05
720,53.05
730,53.05
740,53.05
750,53.05
760,53.05
770,53.05
780,53.05
790,53.05
800,53.06
810,53.06
820,53.06
830,53.06
840,53.06
850,53.06
860,53.06
870,53.07
880,53.07
890,53.07
900,53.07
910,53.07
920,53.07
930,53.08
940,53.08
950,53.08
960,53.08
970,53.08
980,53.09
990,53.09
1000,53.09
1010,53.09
1020,53.10
1030,53.10
1040,53.10
1050,53.11
1060,53.11
1070,53.11
1080,53.12
1090,53.12
1100,53.12
1110,53.13
1120,53.13
1130,53.14
1140,53.14
1150,53.15
1160,53.15
1170,53.16
1180,53.17
1190,53.17
1200,53.18
1210,53.19
1220,53.19
1230,53.20
1240,53.21
1250,53.22
1260,53.23
1270,53.24
1280,53.25
1290,53.27
1300,53.28
1310,53.29
1320,53.31
1330,53.33
1340,53.34
1350,53.36
1360,53.39
1370,53.41
1380,53.44
1390,53.46
1400,53.49
1410,53.53
1420,53.57
1430,53.61
1440,53.66
1450,53.71
1460,53.77
1470,53.83
1480,53.91
1490,54.00
1500,54.10
1510,54.21
1520,54.35
1530,54.51
1540,54.69
1550,54.91
1560,55.18
1570,55.51
1580,55.92
1590,56.44
1600,57.09
1610,57.95
1620,59.08
1630,60.63
1640,62.78
1650,65.86
1660,70.31
1670,76.68
1680,85.14
1690,93.91
1700,98.00
1710,93.91
1720,85.14
1730,76.68
1740,70.31
1750,65.86
1760,62.78
1770,60.63
1780,59.08
1790,57.95
1800,57.09
1810,56.44
1820,55.92
1830,55.51
1840,55.18
1850,54.91
1860,54.69
1870,54.51
1880,54.35
1890,54.21
1900,54.10
1910,54.00
1920,53.91
1930,53.83
1940,53.77
1950,53.71
1960,53.66
1970,53.61
1980,53.57
1990,53.53
2000,53.49
2010,53.46
2020,53.44
2030,53.41
2040,53.39
2050,53.36
2060,53.34
2070,53.33
2080,53.31
2090,53.29
2100,53.28
2110,53.27
2120,53.25
2130,53.24
2140,53.23
2150,53.22
2160,53.21
2170,53.20
2180,53.19
2190,53.19
2200,53.18
2210,53.17
2220,53.17
2230,53.16
2240,53.15
2250,53.15
2260,53.14
2270,53.14
2280,53.13
2290,53.13
2300,53.12
2310,53.12
2320,53.12
2330,53.11
2340,53.11
2350,53.11
2360,53.10
2370,53.10
2380,53.10
2390,53.09
2400,53.09
2410,53.09
2420,53.09
2430,53.08
2440,53.08
2450,53.08
2460,53.08
2470,53.08
2480,53.07
2490,53.07
2500,53.07
2510,53.07
2520,53.07
2530,53.07
2540,53.06
2550,53.06
2560,53.06
2570,53.06
2580,53.06
2590,53.06
2600,53.06
2610,53.05
2620,53.05
2630,53.05
2640,53.05
2650,53.05
2660,53.05
2670,53.05
2680,53.05
2690,53.05
2700,53.04
2710,53.04
2720,53.04
2730,53.04
2740,53.04
2750,53.04
2760,53.04
2770,53.04
2780,53.04
2790,53.04
2800,53.04
2810,53.04
2820,53.04
2830,53.04
2840,53.03
2850,53.03
2860,53.03
2870,53.03
2880,53.03
2890,53.03
2900,53.03
2910,53.03
2920,53.03
2930,53.03
2940,53.03
2950,53.03
2960,53.03
2970,53.03
2980,53.03
2990,53.03
3000,53.03
3010,53.03
3020,53.03
3030,53.03
3040,53.03
3050,53.02
3060,53.02
3070,53.02
3080,53.02
3090,53.02
3100,53.02
3110,53.02
3120,53.02
3130,53.02
3140,53.02
3150,53.02
3160,53.02
3170,53.02
3180,53.02
3190,53.02
3200,53.02
3210,53.02
3220,53.02
3230,53.02
3240,53.02
3250,53.02
3260,53.02
3270,53.02
3280,53.02
3290,53.02
3300,53.02
3310,53.02
3320,53.02
3330,53.02
3340,53.02
3350,53.02
3360,53.02
3370,53.02
3380,53.02
3390,53.02
3400,53.02
3410,53.02
3420,53.02
3430,53.02
3440,53.01
3450,53.01
3460,53.01
3470,53.01
3480,53.01
3490,53.01
3500,53.01
3510,53.01
3520,53.01
3530,53.01
3540,53.01
3550,53.01
3560,53.01
3570,53.01
3580,53.01
3590,53.01
3600,53.01
3610,53.01
3620,53.01
3630,53.01
3640,53.01
3650,53.01
3660,53.01
3670,53.01
3680,53.01
3690,53.01
3700,53.01
3710,53.01
3720,53.01
3730,53.01
3740,53.01
3750,53.01
3760,53.01
3770,53.01
3780,53.01
3790,53.01
3800,53.01
3810,53.01
3820,53.01
3830,53.01
3840,53.01
3850,53.01
3860,53.01
3870,53.01
3880,53.01
3890,53.01
3900,53.01
3910,53.01
3920,53.01
3930,53.01
3940,53.01
3950,53.01
3960,53.01
3970,53.01
3980,53.01
3990,53.01
