wavelength,absorbance
300,0.8129
305,0.8009
310,0.7891
315,0.7775
320,0.7661
325,0.7548
330,0.7436
335,0.7327
340,0.7218
345,0.7111
350,0.7005
355,0.6900
360,0.6797
365,0.6694
370,0.6592
375,0.6491
380,0.6392
385,0.6292
390,0.6194
395,0.6096
400,0.5999
405,0.5902
410,0.5806
415,0.5711
420,0.5615
425,0.5520
430,0.5425
435,0.5331
440,0.5236
445,0.5142
450,0.5047
455,0.4953
460,0.4858
465,0.4763
470,0.4667
475,0.4571
480,0.4475
485,0.4378
490,0.4280
495,0.4181
500,0.4081
505,0.3980
510,0.3877
515,0.3772
520,0.3666
525,0.3557
530,0.3446
535,0.3332
540,0.3214
545,0.3091
550,0.2964
555,0.2830
560,0.2688
565,0.2536
570,0.2371
575,0.2186
580,0.1970
585,0.1696
590,0.1189
595,0.0705
600,0.0700
605,0.0695
610,0.0690
615,0.0685
620,0.0680
625,0.0675
630,0.0670
635,0.0665
640,0.0660
645,0.0655
650,0.0650
655,0.0645
660,0.0640
665,0.0635
670,0.0630
675,0.0625
680,0.0620
685,0.0615
690,0.0610
695,0.0605
700,0.0600
705,0.0595
710,0.0590
715,0.0585
720,0.0580
725,0.0575
730,0.0570
735,0.0565
740,0.0560
745,0.0555
750,0.0550
755,0.0545
760,0.0540
765,0.0535
770,0.0530
775,0.0525
780,0.0520
785,0.0515
790,0.0510
795,0.0505
