2theta,intensity
20.0,52.00
20.1,52.01
20.2,52.02
20.3,52.03
20.4,52.04
20.5,52.05
20.6,52.06
20.7,52.07
20.8,52.08
20.9,52.09
21.0,52.10
21.1,52.11
21.2,52.12
21.3,52.13
21.4,52.14
21.5,52.15
21.6,52.16
21.7,52.17
21.8,52.18
21.9,52.19
22.0,52.20
22.1,52.21
22.2,52.22
22.3,52.23
22.4,52.24
22.5,52.25
22.6,52.26
22.7,52.27
22.8,52.28
22.9,52.29
23.0,52.30
23.1,52.31
23.2,52.32
23.3,52.33
23.4,52.34
23.5,52.35
23.6,52.36
23.7,52.37
23.8,52.38
23.9,52.39
24.0,52.40
24.1,52.41
24.2,52.42
24.3,52.43
24.4,52.44
24.5,52.45
24.6,52.46
24.7,52.47
24.8,52.48
24.9,52.49
25.0,52.50
25.1,52.51
25.2,52.52
25.3,52.53
25.4,52.54
25.5,52.55
25.6,52.56
25.7,52.57
25.8,52.58
25.9,52.59
26.0,52.60
26.1,52.61
26.2,52.62
26.3,52.63
26.4,52.64
26.5,52.65
26.6,52.66
26.7,52.67
26.8,52.68
26.9,52.69
27.0,52.70
27.1,52.71
27.2,52.72
27.3,52.73
27.4,52.74
27.5,52.75
27.6,52.76
27.7,52.77
27.8,52.78
27.9,52.79
28.0,52.80
28.1,52.81
28.2,52.82
28.3,52.83
28.4,52.84
28.5,52.85
28.6,52.86
28.7,52.87
28.8,52.88
28.9,52.89
29.0,52.90
29.1,52.91
29.2,52.92
29.3,52.93
29.4,52.94
29.5,52.95
29.6,52.96
29.7,52.97
29.8,52.98
29.9,52.99
30.0,53.00
30.1,53.01
30.2,53.02
30.3,53.03
30.4,53.04
30.5,53.05
30.6,53.06
30.7,53.07
30.8,53.08
30.9,53.09
31.0,53.10
31.1,53.11
31.2,53.12
31.3,53.13
31.4,53.14
31.5,53.15
31.6,53.16
31.7,53.17
31.8,53.18
31.9,53.19
32.0,53.20
32.1,53.21
32.2,53.22
32.3,53.23
32.4,53.24
32.5,53.25
32.6,53.26
32.7,53.27
32.8,53.28
32.9,53.29
33.0,53.30
33.1,53.31
33.2,53.32
33.3,53.33
33.4,53.34
33.5,53.35
33.6,53.36
33.7,53.37
33.8,53.38
33.9,53.39
34.0,53.40
34.1,53.41
34.2,53.42
34.3,53.43
34.4,53.44
34.5,53.45
34.6,53.48
34.7,53.60
34.8,54.35
34.9,57.93
35.0,71.07
35.1,107.64
