2theta,intensity
20.0,120.5
21.0,118.2
22.0,122.1
23.0,119.4
24.0,125.0
25.0,121.3
26.0,128.7
27.0,124.2
28.0,130.1
29.0,126.8
30.0,135.4
31.0,132.1
32.0,140.8
33.0,148.2
34.0,210.5
34.5,420.0
35.0,850.3
35.5,1450.8
36.0,780.2
36.5,350.6
37.0,180.1
37.5,290.4
38.0,620.8
38.5,1150.2
39.0,590.1
39.5,240.3
40.0,165.2
41.0,150.4
42.0,145.1
43.0,142.8
44.0,139.5
45.0,138.0
46.0,136.2
47.0,135.1
48.0,190.4
48.5,480.2
49.0,210.6
50.0,134.0
52.0,131.2
54.0,129.5
56.0,128.0
58.0,175.4
58.5,390.8
59.0,170.2
60.0,126.5
62.0,125.0
64.0,123.8
66.0,160.3
66.5,310.5
67.0,155.1
68.0,122.0
70.0,120.4
72.0,119.1
74.0,118.5
76.0,117.2
78.0,116.8
80.0,115.5
